review_id,restaurant_id,rating,review_text,compound,vader_sentiment,textblob_polarity,textblob_subjectivity,dominant_topic
REV100000,REST1017,4.7,Food was good but the wait was too long.,0.0,Neutral,0.0,0.0,5
REV100001,REST1022,3.3,Absolutely loved everything! From appetizers to dessert.,0.0,Neutral,0.0,0.0,5
REV100002,REST1051,5.0,Best BBQ in town! The Ribs was incredible.,0.0,Neutral,0.0,0.0,4
REV100003,REST1118,5.0,Overpriced for what you get. Won't be returning.,0.0,Neutral,0.0,0.0,1
REV100004,REST1194,3.5,Disappointing. Service was slow and food was cold.,0.0,Neutral,0.0,0.0,5
REV100005,REST1006,5.0,Disappointing. Service was slow and food was cold.,0.0,Neutral,0.0,0.0,5
REV100006,REST1002,4.1,Overpriced for what you get. Won't be returning.,0.0,Neutral,0.0,0.0,1
REV100007,REST1188,3.3,Best French in town! The Croissant was incredible.,0.0,Neutral,0.0,0.0,4
REV100008,REST1060,3.1,Cozy atmosphere and friendly staff. Perfect for date night.,0.0,Neutral,0.0,0.0,1
REV100009,REST1182,4.9,Best French in town! The Croissant was incredible.,0.0,Neutral,0.0,0.0,4
REV100010,REST1133,5.0,Cozy atmosphere and friendly staff. Perfect for date night.,0.0,Neutral,0.0,0.0,1
REV100011,REST1148,3.9,Average experience. Food was okay but nothing special.,0.0,Neutral,0.0,0.0,2
REV100012,REST1019,5.0,Not worth the hype. There are better options nearby.,0.0,Neutral,0.0,0.0,4
REV100013,REST1033,4.2,Disappointing. Service was slow and food was cold.,0.0,Neutral,0.0,0.0,5
REV100014,REST1100,2.2,Overpriced for what you get. Won't be returning.,0.0,Neutral,0.0,0.0,1
REV100015,REST1059,5.0,Average experience. Food was okay but nothing special.,0.0,Neutral,0.0,0.0,2
REV100016,REST1027,3.8,Amazing flavors and generous portions. Highly recommended!,0.0,Neutral,0.0,0.0,4
REV100017,REST1119,4.1,Overpriced for what you get. Won't be returning.,0.0,Neutral,0.0,0.0,1
REV100018,REST1091,5.0,Disappointing. Service was slow and food was cold.,0.0,Neutral,0.0,0.0,5
REV100019,REST1067,3.7,Average experience. Food was okay but nothing special.,0.0,Neutral,0.0,0.0,2
REV100020,REST1077,4.6,Not worth the hype. There are better options nearby.,0.0,Neutral,0.0,0.0,4
REV100021,REST1037,4.0,Average experience. Food was okay but nothing special.,0.0,Neutral,0.0,0.0,2
REV100022,REST1131,4.1,Great food and excellent service! Will definitely come back.,0.0,Neutral,0.0,0.0,3
REV100023,REST1007,3.2,Cozy atmosphere and friendly staff. Perfect for date night.,0.0,Neutral,0.0,0.0,1
REV100024,REST1063,3.3,Average experience. Food was okay but nothing special.,0.0,Neutral,0.0,0.0,2
REV100025,REST1031,4.2,Great food and excellent service! Will definitely come back.,0.0,Neutral,0.0,0.0,3
REV100026,REST1050,4.9,Cozy atmosphere and friendly staff. Perfect for date night.,0.0,Neutral,0.0,0.0,1
REV100027,REST1165,5.0,Average experience. Food was okay but nothing special.,0.0,Neutral,0.0,0.0,2
REV100028,REST1016,5.0,Disappointing. Service was slow and food was cold.,0.0,Neutral,0.0,0.0,5
REV100029,REST1084,4.1,Average experience. Food was okay but nothing special.,0.0,Neutral,0.0,0.0,2
REV100030,REST1043,5.0,Not worth the hype. There are better options nearby.,0.0,Neutral,0.0,0.0,4
REV100031,REST1127,4.8,Great food and excellent service! Will definitely come back.,0.0,Neutral,0.0,0.0,3
REV100032,REST1044,4.7,Overpriced for what you get. Won't be returning.,0.0,Neutral,0.0,0.0,1
REV100033,REST1071,4.3,Food was good but the wait was too long.,0.0,Neutral,0.0,0.0,5
REV100034,REST1158,4.6,Not worth the hype. There are better options nearby.,0.0,Neutral,0.0,0.0,4
REV100035,REST1127,4.4,Cozy atmosphere and friendly staff. Perfect for date night.,0.0,Neutral,0.0,0.0,1
REV100036,REST1071,5.0,Cozy atmosphere and friendly staff. Perfect for date night.,0.0,Neutral,0.0,0.0,1
REV100037,REST1164,5.0,Absolutely loved everything! From appetizers to dessert.,0.0,Neutral,0.0,0.0,5
REV100038,REST1004,5.0,Cozy atmosphere and friendly staff. Perfect for date night.,0.0,Neutral,0.0,0.0,1
REV100039,REST1124,3.2,Overpriced for what you get. Won't be returning.,0.0,Neutral,0.0,0.0,1
REV100040,REST1046,5.0,Great food and excellent service! Will definitely come back.,0.0,Neutral,0.0,0.0,3
REV100041,REST1007,4.0,Best Mexican in town! The Tacos was incredible.,0.0,Neutral,0.0,0.0,5
REV100042,REST1091,3.6,Not worth the hype. There are better options nearby.,0.0,Neutral,0.0,0.0,4
REV100043,REST1063,4.7,Disappointing. Service was slow and food was cold.,0.0,Neutral,0.0,0.0,5
REV100044,REST1195,4.5,Disappointing. Service was slow and food was cold.,0.0,Neutral,0.0,0.0,5
REV100045,REST1045,4.5,Disappointing. Service was slow and food was cold.,0.0,Neutral,0.0,0.0,5
REV100046,REST1151,3.3,Great food and excellent service! Will definitely come back.,0.0,Neutral,0.0,0.0,3
REV100047,REST1036,3.3,Not worth the hype. There are better options nearby.,0.0,Neutral,0.0,0.0,4
REV100048,REST1079,5.0,Amazing flavors and generous portions. Highly recommended!,0.0,Neutral,0.0,0.0,4
REV100049,REST1014,4.2,Disappointing. Service was slow and food was cold.,0.0,Neutral,0.0,0.0,5
REV100050,REST1122,3.2,Great food and excellent service! Will definitely come back.,0.0,Neutral,0.0,0.0,3
REV100051,REST1033,2.2,Overpriced for what you get. Won't be returning.,0.0,Neutral,0.0,0.0,1
REV100052,REST1005,3.8,Amazing flavors and generous portions. Highly recommended!,0.0,Neutral,0.0,0.0,4
REV100053,REST1093,5.0,Average experience. Food was okay but nothing special.,0.0,Neutral,0.0,0.0,2
REV100054,REST1101,5.0,Not worth the hype. There are better options nearby.,0.0,Neutral,0.0,0.0,4
REV100055,REST1082,5.0,Amazing flavors and generous portions. Highly recommended!,0.0,Neutral,0.0,0.0,4
REV100056,REST1163,5.0,Food was good but the wait was too long.,0.0,Neutral,0.0,0.0,5
REV100057,REST1143,4.4,Not worth the hype. There are better options nearby.,0.0,Neutral,0.0,0.0,4
REV100058,REST1150,5.0,Amazing flavors and generous portions. Highly recommended!,0.0,Neutral,0.0,0.0,4
REV100059,REST1075,3.0,Amazing flavors and generous portions. Highly recommended!,0.0,Neutral,0.0,0.0,4
REV100060,REST1179,4.2,Not worth the hype. There are better options nearby.,0.0,Neutral,0.0,0.0,4
REV100061,REST1046,5.0,Not worth the hype. There are better options nearby.,0.0,Neutral,0.0,0.0,4
REV100062,REST1163,4.7,Not worth the hype. There are better options nearby.,0.0,Neutral,0.0,0.0,4
REV100063,REST1084,4.2,Average experience. Food was okay but nothing special.,0.0,Neutral,0.0,0.0,2
REV100064,REST1042,4.1,Average experience. Food was okay but nothing special.,0.0,Neutral,0.0,0.0,2
REV100065,REST1067,5.0,Disappointing. Service was slow and food was cold.,0.0,Neutral,0.0,0.0,5
REV100066,REST1089,5.0,Best Vegetarian in town! The Buddha Bowl was incredible.,0.0,Neutral,0.0,0.0,3
REV100067,REST1012,3.8,Cozy atmosphere and friendly staff. Perfect for date night.,0.0,Neutral,0.0,0.0,1
REV100068,REST1105,5.0,Food was good but the wait was too long.,0.0,Neutral,0.0,0.0,5
REV100069,REST1096,4.6,Average experience. Food was okay but nothing special.,0.0,Neutral,0.0,0.0,2
REV100070,REST1194,4.3,Disappointing. Service was slow and food was cold.,0.0,Neutral,0.0,0.0,5
REV100071,REST1008,4.8,Best Seafood in town! The Grilled Salmon was incredible.,0.0,Neutral,0.0,0.0,4
REV100072,REST1026,5.0,Average experience. Food was okay but nothing special.,0.0,Neutral,0.0,0.0,2
REV100073,REST1041,3.7,Average experience. Food was okay but nothing special.,0.0,Neutral,0.0,0.0,2
REV100074,REST1157,2.0,Food was good but the wait was too long.,0.0,Neutral,0.0,0.0,5
REV100075,REST1042,5.0,Not worth the hype. There are better options nearby.,0.0,Neutral,0.0,0.0,4
REV100076,REST1025,3.5,Overpriced for what you get. Won't be returning.,0.0,Neutral,0.0,0.0,1
REV100077,REST1178,4.4,Absolutely loved everything! From appetizers to dessert.,0.0,Neutral,0.0,0.0,5
REV100078,REST1076,4.4,Disappointing. Service was slow and food was cold.,0.0,Neutral,0.0,0.0,5
REV100079,REST1146,4.9,Absolutely loved everything! From appetizers to dessert.,0.0,Neutral,0.0,0.0,5
REV100080,REST1092,5.0,Great food and excellent service! Will definitely come back.,0.0,Neutral,0.0,0.0,3
REV100081,REST1169,4.4,Not worth the hype. There are better options nearby.,0.0,Neutral,0.0,0.0,4
REV100082,REST1006,5.0,Disappointing. Service was slow and food was cold.,0.0,Neutral,0.0,0.0,5
